wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q108577107,Jobeth Lillian Coleby-Davis,JoBeth Coleby-Davis,female,1984-07-17,11,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q108032614,Minister of Transport and Housing,Q108577107-16F3EBC0-C980-460D-A678-D9BC213CF48A
Q108674257,Isaac Chester Cooper,Chester Cooper,male,1964-08-22,11,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q108030468,"Minister of Tourism, Investment and Aviation",Q108674257-2D4AA9B7-C2D3-4DA0-A5F8-7EBE92E2A44E
Q108674257,Isaac Chester Cooper,Chester Cooper,male,1964-08-22,11,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q25917099,Deputy Prime Minister,Q108674257-5C21B0C4-7B6F-4123-8AFB-6BFF2CB0CDFB
Q108933174,Pia Takita Glover-Rolle,Pia Glover-Rolle,female,1977-01-01,9,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-10,Q109463037,Minister of State for the Public Service,Q108933174-3DFD011C-C8B8-4E4D-81D7-7032658D3BD2
Q108938054,Lisa Tammy Rahming,Lisa Rahming,female,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q109462907,Minister of State in the Ministry of Social Services and Urban Development,Q108938054-44B5F936-1C40-452C-AC99-CBA83CC9DF68
Q109462283,Mario Keith Bowleg,Mario Bowleg,,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q108032601,"Minister of Youth, Sports and Culture",Q109462283-0D8B9CEE-F442-48C2-8237-CCC455727DFA
Q109462441,Alfred Michael Sears,Alfred Sears,male,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q108030396,Minister of Works and Utilities,Q109462441-B58E46D5-F36D-4C82-B3F6-AA152B23F21E
Q109462443,Basil Walton McIntosh,Basil McIntosh,,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q109462444,Minister of State for the Environment,Q109462443-CC95F4FA-9B8D-44B9-86FD-34220C55F377
Q109462470,Clay Glennford Sweeting,Clay Sweeting,,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q108030421,"Minister of Agriculture, Marine Resources and Family Island Affairs",Q109462470-EAD29AF3-E9D0-4F6E-A215-10F0437B3183
Q109462791,Ginger Maria Moxey,Ginger Moxey,,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q109462792,Minister for Grand Bahama,Q109462791-7A21BB81-A474-4359-B019-EDE8C7997483
Q109462849,Jomo Chaka Campbell,Jomo Campbell,,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q109462850,Minister of State for Legal Affairs,Q109462849-9F9B0D76-21A9-4719-9CE5-21210469A058
Q109462898,Keith Ricardo Bell,Keith Bell,male,,,https://www.bahamas.gov.bs/wps/portal/public/The%20Government/Executive/Cabinet%20Ministers/!ut/p/b1/vZTZbqNAEEW_JR-Q0M3aPLKZvdnXF4TBdowNmNhh8dePE400ixRnHibpfmrpVF_dW6UiciIl8q4c97vysu-78vj2ztmCAqotCDSyVQawQI9cS3A5jXQgcwOyGwA-OAK4W2-SREKkaQZmmdanlR4W0mHUmEucmCLAUbDd0zvT6jfAckXbPOcpjUgya7BbM9VYe94jL5FHrFC-fbG2Vg-P0nSSst5cxh3uamNZXhdmHY4G3haocDQqHH3xvABvSaoXvjdj2U5mbSHDwWZlLVDd9WFRcHeR_cCpRuv1aCFTvx75QQA8E6WnXHRK2p4gKsIVT43VgB5--r9j8J_y-wigwWf1CZHfRd5-eAfuteizJmGtbzdEdsO437AwBkCHQPAD6AGEIRESKaCLoFlO-vVw9RvOA5jTgX1gHNAk0JbdBIfqFGID241HQgDm4KpMOBRN3GyoEKduHfuRKEidGQnW34IOGfI3QQmyZsSAANBfLagyDroFwYWuwJBAdeB3C1LfGqnqOuDLHf4xNLT3_3toEPl-3T5NVfsEnhDPQoZDNI9YQNOII-ImozkZ6ZP8vmwuKnuez4OgJ-ZzqQIhOpaxsGfKVFlXQ2EsfUC_KBNVHzqKrHcVVvUqsvu-TKJ516SLI-hdTsG2lrLpIPeToTVucJLyrdS7ilm0Yisq9VDzly35GmyjWIGbON0mZRfpEUNVh5crx5ETZV7bfRsMz0xlRY8w7ka7hSbChTtnx-riDTDrM6Uz1rUfJou9C-u5Y5eVOjZrtMoMns4khM6rR9Rl3Fq8eq0kCw_EqY1G02J97bavft3p4Qd_CXcn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2021-11-09,Q109462900,Minister of Labour and Immigration,Q109462898-FE268843-C28F-4335-AB04-B644BF5EB44B
